,,,,,
,Control,Description,FAIR CAM Control Function Domain - Control Functions,Type,Annual cost (USD)
,Acceptable Use Policy (AUP),"Acceptable Use Policy as a security control refers to establishing clear guidelines and policies regarding the appropriate and authorized use of organizational technology resources. These guidelines outline permissible actions and behaviors for employees, contractors, and other users when accessing, utilizing, and interacting with digital assets such as computers, networks, software, and data.

The purpose of implementing Acceptable Use policies is multifaceted. Firstly, they mitigate security risks by defining boundaries and expectations for users, helping to prevent accidental or intentional breaches of security protocols. Organizations can reduce the likelihood of unauthorized access, data breaches, and other cybersecurity incidents by clearly outlining what constitutes acceptable behavior. Secondly, Acceptable Use policies promote the responsible and efficient use of technology resources. By providing guidelines on appropriate use, organizations can ensure that their systems and networks are used for legitimate business purposes, thereby minimizing the risk of productivity loss or resource misuse.

Moreover, acceptable use policies play a crucial role in promoting an organization's culture of security awareness. By educating users about their responsibilities and the potential consequences of non-compliance, organizations can foster a mindset of vigilance and accountability among employees, contractors, and other stakeholders.

Consequences for not adhering to acceptable use policy are essential for reinforcing compliance and maintaining accountability. Organizations usually imply disciplinary actions, such as warnings, retraining, suspension of privileges, or even termination of employment, depending on the severity of the violation as a breach of acceptable usage conduct. By enforcing consequences consistently and fairly, organizations demonstrate the seriousness of security policies and deter individuals from engaging in risky or unauthorized behaviors.

Effective implementation of Acceptable use policy as a security control typically involves several key components, including:

- Policy Development: Developing comprehensive policies that clearly outline acceptable behaviors, responsibilities, and consequences for non-compliance.
- Policy Acknowledgement: All users must acknowledge their understanding of the acceptable use policy and agree to comply with its provisions, typically through a formal acknowledgment process.
- User Education and Awareness: Providing training and awareness programs to educate users about the Acceptable Usage policies and their importance in maintaining a secure computing environment.
- Monitoring and Enforcement: Implementing mechanisms to monitor user activities and enforce compliance with Acceptable Usage policies, such as logging and auditing systems, access controls, and disciplinary measures for violations.
- Regular Review and Updates: Review and update Acceptable Usage policies to adapt to changing technologies, threats, and organizational needs.

In Summary, the Acceptable Use Policy is a set of guidelines and rules organizations establish to define the acceptable use of their information technology resources by employees, contractors, and other authorized users. This policy outlines the permitted activities and behaviors regarding the organization's IT assets, networks, and data. It covers internet and email usage, software installation, data privacy, confidentiality, and security practices. Acceptable Usage control aims to ensure that employees understand their responsibilities and obligations when using organizational resources, mitigate risks associated with misuse or abuse of technology, and protect the organization's reputation, assets, and data. ","LEC - Prevention - Deterrence

DSC - Prevent Misaligned Decisions - Define Expectations and Objectives

DSC - Prevent Misaligned Decisions - Communicate Expectations and Objectives

DSC - Prevent Misaligned Decisions - Incentives",administrative,15000
,Application Performance Monitoring (APM),"Application Performance Monitoring (APM) actively monitors the performance of software applications. It can enable the detection of anomalies or malicious activities that may indicate security threats. APM tools continuously track performance metrics, such as response times, error rates, and resource utilization, to establish a baseline of normal application behavior. Any deviations from this baseline, such as sudden spikes in traffic, unusual patterns of user behavior, or unexpected errors, can signal potential security incidents. By analyzing these performance metrics in real time, APM solutions can identify signs of suspicious activity, such as denial-of-service (DoS) attacks, data exfiltration attempts, or unauthorized access.

Additionally, APM tools provide insights into the performance of third-party components and application dependencies. This enables organizations to monitor and mitigate security risks associated with these components. Security teams can use APM logs and performance data to reconstruct the events leading up to the incident, determine the root cause, and assess the impact on application performance. This information facilitates practical incident response efforts and helps organizations improve their security posture against similar threats in the future.

In summary, APM serves as a valuable security control by detecting anomalies early, identifying malicious activity, monitoring third-party components, supporting incident response efforts, and integrating with broader security monitoring and response systems. By leveraging APM as part of their cybersecurity strategy, organizations can enhance their ability to detect, respond to, and mitigate security threats targeting their applications and IT infrastructure.","LEC - Detection - Visibility

LEC - Detection - Monitoring",technical,30000
,Asset Management (AM),"Asset Management is one of the strategic and tactical cybersecurity controls, encompassing the organized oversight and administration of an organization's assets. This control involves systematically identifying, cataloging, and managing all digital resources, including hardware, software, data, and network components. At its core, Asset Management ensures that organizations maintain a comprehensive inventory of their assets. This inventory is the foundation for understanding the organization's digital footprint and forms the basis for effective risk management. Asset Management also involves classifying assets based on their importance and sensitivity to the organization. Throughout their lifecycle, assets undergo various stages, from acquisition to disposal. Security teams can better assess potential vulnerabilities and threats by knowing what assets exist and where they are located. Asset Management control also enables an incident response and forensic investigation. By correlating asset information with security logs and event data, organizations can identify affected assets, assess the scope of the incident, and determine the root cause. It enables effective containment, remediation, and recovery efforts to minimize the impact of security incidents. Organizations gain deeper insights into security threats and incidents across their environment by correlating asset information with other security telemetry, such as Security Information and Event Management (SIEM) data. This integration enables faster detection and response to cyber threats, strengthening the organization's security posture.

In summary, Asset Management is a security control that provides visibility and governance over an organization's assets. By effectively managing assets throughout their lifecycle, organizations can mitigate security risks, maintain compliance, enforce access controls, and respond effectively to security incidents, safeguarding their valuable digital assets and ensuring their infrastructure's confidentiality, integrity, and availability.","DSC - Prevent Misaligned Decisions - Provide Situational Awareness - Provide Data - Provide Asset Data

DSC - Prevent Misaligned Decisions - Incentives",administrative,60000
,Background Verification (BGV),"Background Verification control aims to validate the integrity and trustworthiness of individuals with access to sensitive information or critical systems within an organization. This control involves thorough checks on the background, qualifications, and history of employees, contractors, vendors, and other personnel to ensure they meet the organization's security standards and requirements. This verification helps organizations assess the reliability and credibility of individuals and identify any potential risks or concerns that may threaten the organization's security. It is vital in mitigating insider threats and preventing unauthorized access to sensitive information or systems. By conducting background checks on individuals before granting them access privileges, organizations can reduce the likelihood of malicious activities from insiders with malicious intent, such as data breaches, sabotage, or espionage. Moreover, Background Verification helps ensure compliance with regulatory requirements and industry standards, which often mandate thorough screening of individuals with access to sensitive data or critical infrastructure. By adhering to these requirements, organizations demonstrate their commitment to safeguarding sensitive information and maintaining the trust of customers, partners, and stakeholders. In addition to pre-employment background checks, organizations may also conduct periodic re-verification or screening of personnel to ensure ongoing compliance with security policies and standards. This continuous monitoring helps organizations identify changes in personnel's circumstances or behaviors that may pose security risks and take appropriate actions to mitigate them.

In summary, Background Verification is a proactive security measure to mitigate insider threats, prevent unauthorized access, and ensure compliance with regulatory requirements. By thoroughly vetting individuals with access to sensitive information or critical systems, organizations can strengthen their security posture and protect their assets from potential security breaches and insider attacks.",LEC - Prevention - Avoidance,administrative,15000
,Business Continuity and Disaster Recovery (BCDR),"Business Continuity and Disaster Recovery (BCDR) control enables organizations to ensure uninterrupted business functions during an adverse event such as a cyber attack, system failure, or natural disaster. This control involves developing comprehensive strategies and procedures to mitigate the impact of such events and minimize downtime, thereby safeguarding the organization's assets, reputation, and ability to deliver products and services.

The Business Continuity Planning aspect of BCDR involves identifying critical business processes, dependencies, and resources and developing contingency plans and alternate solutions to ensure continued operation. By implementing redundant systems, backup facilities, and alternative workflows, organizations can minimize the impact of disruptions and maintain essential services to customers, employees, and stakeholders. The Disaster Recovery aspect of BCDR planning involves restoring IT systems, infrastructure, and data following a disruptive event. It includes developing data backup, replication, and recovery procedures and testing and validating these processes to ensure their effectiveness. Organizations can quickly recover critical systems and data and resume normal operations with minimal downtime by implementing robust backup and recovery mechanisms.

In summary, Business Continuity and Disaster Recovery planning is a security control encompassing strategies, procedures, and measures to ensure the resilience and continuity of business operations in the face of disruptive events. By developing a proactive response and recovery process, organizations can minimize the magnitude of disruptions and protect their business-critical assets, and thus extend comfort and confidence to the customers, partners, and stakeholders, even during the most challenging circumstances.","LEC - Response - Resilience

VMC - Identification - Control Monitoring

DSC - Prevent Misaligned Decisions - Provide Situational Awareness - Provide Data - Provide Asset Data

DSC - Prevent Misaligned Decisions - Define Expectations and Objectives",administrative,60000
,Change Management (CM),"Change Management is a security control that systematically manages and oversees changes to IT systems, applications, configurations, and processes within an organization. This control ensures that implemented changes are evaluated to minimize disruptions, mitigate risks, and reduce the potential unwanted adverse impact on the assets or IT environment. At its core, Change Management involves establishing formal processes and procedures for requesting, reviewing, approving, implementing, and documenting IT assets and infrastructure changes. This includes defining roles, responsibilities, and workflows to effectively govern the change management process.

One of the main objectives of Change Management is to assess the potential impact of proposed changes on security, stability, and performance before implementing them. This process also involves conducting thorough risk assessments and impact analyses to identify potential risks, dependencies, and conflicts associated with proposed changes. By evaluating these factors, organizations can make informed decisions about whether to proceed with changes and implement appropriate mitigating controls to address identified risks.

In summary, Change Management is pivotal in maintaining an organization's IT environment's confidentiality, integrity, and availability by ensuring that changes are controlled and systematic. By establishing formal processes, conducting risk assessments, implementing appropriate controls, and fostering communication and coordination among stakeholders, organizations can minimize the risk of disruptions, prevent unauthorized changes, and maintain the reliability and availability of IT systems and services.","VMC - Prevention - Reduce Change Frequency

DSC - Prevent Misaligned Decisions - Define Expectations and Objectives

DSC - Prevent Misaligned Decisions - Provide Situational Awareness - Analysis",administrative,60000
,Cloud Security Posture Management (CSPM),"Cloud Security Posture Management (CSPM) control is designed to ensure cloud environments' security, compliance, and resilience. This control encompasses a set of tools, processes, and practices that enable organizations to proactively identify, assess, and remediate security risks and misconfigurations in their cloud infrastructure and services. At its core, CSPM involves continuously monitoring and evaluating the security posture of cloud environments to identify potential vulnerabilities, misconfigurations, and compliance violations. This includes assessing the configuration settings, permissions, and access controls of cloud resources, such as virtual machines, storage buckets, databases, and networking components, against security best practices, industry standards, and regulatory requirements. CSPM tools enable organizations to identify and prioritize security risks based on their severity and potential impact by often leveraging automation and machine learning capabilities to analyze vast amounts of data and provide real-time insights into security issues. One of the main objectives of CSPM is to ensure that cloud environments adhere to security and compliance policies, standards, and regulations. It compares cloud configurations against predefined security baselines and regulatory requirements, such as CIS benchmarks, NIST guidelines, GDPR, HIPAA, and PCI DSS. Organizations can take corrective actions to bring cloud environments into compliance and mitigate potential security risks by identifying deviations from these standards. CSPM also involves implementing proactive security controls to prevent and mitigate security threats and attacks in cloud environments. It includes enforcing least privilege access controls, implementing encryption and data protection measures, configuring network security groups and firewall rules, and monitoring for abnormal behavior and suspicious activities. Furthermore, CSPM includes mechanisms for continuous monitoring, auditing, and reporting of security posture and compliance status in cloud environments. It allows organizations to track changes in their cloud infrastructure, detect security incidents, and generate compliance reports for audits and regulatory inspections.

In summary, Cloud Security Posture Management control helps organizations ensure their cloud environments' security, compliance, and resilience. By continuously monitoring, assessing, and remediating security risks and misconfigurations, CSPM enables organizations to maintain a strong security posture in the cloud, protect sensitive data, and mitigate the risk of security breaches and compliance violations.",VMC - Identification - Control Monitoring,technical,100000
,Compliance Audit (COMP),"Compliance Audit is a security control that systematically reviews and evaluates an organization's adherence to regulatory requirements, industry standards, and internal policies related to information security and privacy. This control ensures that the organization operates per applicable laws, regulations, and standards and maintains safeguards to protect sensitive information and assets. At its core, Compliance Audit involves conducting periodic assessments and examinations to verify that the organization's security practices, procedures, and controls align with established compliance frameworks and requirements. This includes reviewing documentation, conducting interviews, and performing technical assessments to assess the effectiveness and maturity of the organization's security program.

Compliance Audit encompasses various aspects of information security, including data protection, access controls, risk management, incident response, and privacy. Organizations must demonstrate that they have implemented appropriate safeguards to protect sensitive data, prevent unauthorized access, and respond effectively to security incidents. One of the main objectives of Compliance Audit is to identify gaps, deficiencies, and areas of non-compliance within the organization's security posture. Organizations can take corrective actions to address deficiencies and mitigate potential risks by identifying non-compliance areas. Compliance Audit also involves documenting audit findings, recommendations, and remediation plans to ensure accountability and transparency. This includes preparing audit reports, recording evidence of compliance, and tracking remediation efforts to address identified deficiencies. Effective communication and collaboration with stakeholders are essential to ensure relevant parties understand, accept, and act upon audit findings.

In summary, Compliance Audit is a security control that helps organizations verify and validate their adherence to regulatory requirements, industry standards, and internal information security and privacy policies. Organizations can identify and address compliance issues, mitigate risks, and strengthen their overall security posture by conducting regular assessments and examinations, documenting audit findings, and collaborating with stakeholders.","VMC - Identification - Control Monitoring

DSC - Prevent Misaligned Decisions - Provide Situational Awareness - Reporting",administrative,15000
,Cyber Insurance (CI),"Cyber Insurance is a financial security control that organizations can leverage to mitigate the potential financial losses associated with cybersecurity incidents and data breaches. It involves purchasing insurance policies specifically designed to cover expenses related to cyber incidents, including data breaches, ransomware attacks, business interruptions, and legal liabilities. At its core, Cyber Insurance provides organizations with financial protection and risk transfer mechanisms in the event of a cybersecurity incident. It typically covers a range of expenses, such as the costs of forensic investigations, data restoration, legal fees, regulatory fines, notification expenses, and extortion payments. Cyber Insurance helps organizations recover more quickly and resume normal operations with minimal disruption by mitigating the financial impact of cyber incidents. While preventive measures and security controls can reduce the likelihood of cyber incidents, they cannot eliminate the risk. Cyber Insurance provides a safety net for organizations, offering financial assistance when preventive measures fail and incidents occur.

Cyber Insurance policies are tailored to organizations' unique needs and risk profiles, considering factors such as industry sector, size, revenue, and operations. Organizations can customize their coverage based on specific risk exposures and budgetary constraints, ensuring adequate protection against potential cyber threats.

In summary, Cyber Insurance is a security control that helps organizations mitigate the financial impact of cybersecurity incidents and data breaches. By providing financial protection, promoting cybersecurity best practices, and offering access to resources and services, Cyber Insurance enables organizations to manage cyber risks more effectively and recover quickly from cyber incidents.",LEC - Response - Loss Reduction,administrative,150000
,Cyber Risk Quantification and Management (CRQM),"Cyber Risk Quantification and Management control is focused on assessing, measuring, and managing the cyber risk within an organization. This control involves systematic processes and methodologies to quantify the potential impact of cyber risks on the organization's assets, operations, and reputation, as well as strategies to mitigate these risks effectively. At its core, Cyber Risk Quantification and Management begins with identifying and assessing the various cyber risks that the organization faces. It includes identifying potential threats, identifying a method the threat actor would use, and determining the impact the threat actor would have on business resources such as customer or PII data. One of the main components of Cyber Risk Quantification and Management is quantifying the financial impact of cyber risks on the organization. It involves estimating the potential costs associated with data breaches, system outages, regulatory fines, legal liabilities, reputational damage, and other adverse consequences of cyber incidents. By quantifying these potential costs, organizations can make informed decisions about investing in cybersecurity measures and risk mitigation strategies.

Cyber Risk Quantification and Management also involves implementing measures to reduce the likelihood of the loss event occurring and reducing the magnitude of loss if the loss event occurs. Furthermore, Cyber Risk Quantification and Management encompasses ongoing monitoring and review of cyber risks to ensure that mitigation measures remain adequate and relevant over time. This involves monitoring emerging threats, changes in the organization's risk profile, and the effectiveness of existing controls to adapt and refine risk management strategies accordingly.

Collaboration and communication among stakeholders are essential components of Cyber Risk Quantification and Management. It includes engaging with executive leadership, IT and security teams, risk management professionals, legal counsel, and insurance providers to ensure alignment of risk management strategies with business objectives and regulatory requirements. Organizations can effectively identify, assess, and mitigate cyber risks by fostering collaboration and communication.

In summary, Cyber Risk Quantification and Management is a control that enables organizations to identify, assess, and manage cyber risks effectively. By quantifying the financial impact of cyber risks, implementing risk mitigation measures, and fostering collaboration among stakeholders, organizations can strengthen their resilience to cyber threats, protect critical assets and operations, and maintain trust with their customers, partners, and stakeholders.","VMC - Correction - Implementation

VMC - Identification - Control Monitoring

DSC - Prevent Misaligned Decisions - Provide Situational Awareness - Reporting

DSC - Prevent Misaligned Decisions - Provide Situational Awareness - Analysis

DSC - Prevent Misaligned Decisions - Define Expectations and Objectives",administrative,150000
